,ID_REF,GSM4030288,GSM4030289,GSM4030290,GSM4030291,GSM4030292,GSM4030293,GSM4030294
19542,17350432,3.08434,3.19958,3.33377,3.57321,3.4590400000000003,3.3037699999999997,3.1720900000000003
19543,17350437,2.67562,2.69496,2.26373,2.94105,2.4374599999999997,2.26373,2.62315
19544,17350441,5.22725,5.33099,5.2679,6.10135,5.65391,5.27824,5.42502
19545,17350444,5.16575,4.94014,4.65155,4.97025,4.6411,4.45598,4.37664
19546,17350447,10.1636,9.49046,9.81299,10.0251,9.57947,8.78664,8.93202
19547,17350492,6.44043,5.98739,5.42521,6.93038,7.3449,6.40685,6.4172199999999995
19548,17350517,8.06749,8.18088,7.97271,8.84958,7.738760000000001,8.03575,8.068019999999999
19549,17350543,2.9083099999999997,2.52315,2.69963,3.4464099999999998,2.83154,2.3121,2.63252
19550,17350545,4.00019,3.82376,3.7871699999999997,4.06005,4.279059999999999,3.8653699999999995,3.7390800000000004
19551,17350552,4.7487900000000005,5.73653,3.85284,4.09779,3.6695699999999998,4.1883,3.9280199999999996
19552,17350559,4.51529,4.84429,4.55994,4.6597599999999995,4.696969999999999,4.70584,4.6169
19553,17350563,8.166260000000001,8.34763,7.8117399999999995,8.97091,7.83505,8.17517,8.08506
19554,17350573,6.66015,6.28354,6.08087,6.46611,5.86817,6.02209,5.87714
19555,17350576,3.7577300000000005,4.0869599999999995,3.95375,4.40308,4.1094800000000005,4.0734,3.86344
19556,17350581,3.7961099999999997,3.4138300000000004,3.57787,3.17403,3.17155,3.05743,3.7062199999999996
19557,17350586,4.2392199999999995,3.68215,4.08041,4.44548,4.275869999999999,4.06374,3.57405
19558,17350591,3.3688599999999997,3.06184,3.89606,4.24383,3.5578199999999995,3.57608,3.65734
19559,17350611,8.72852,9.02557,9.03562,9.335460000000001,8.930530000000001,8.69253,9.13768
19560,17350628,6.650930000000001,6.37367,6.712039999999999,5.9624,6.17733,6.42438,6.79863
19561,17350639,4.92961,4.95728,5.09669,5.33791,4.70662,4.96629,4.80549
19562,17350652,6.23894,5.59085,5.701169999999999,5.934,5.56869,6.33633,5.7679599999999995
19563,17350656,9.27603,9.04844,9.014289999999999,9.308760000000001,8.75675,8.25462,8.53744
19564,17350671,10.4627,11.1855,10.561,11.0983,10.7244,10.9162,10.9913
19565,17350673,3.7635300000000003,3.24772,3.23027,3.4232699999999996,3.24155,3.3589,3.1069
19566,17350677,4.29756,4.20498,3.9452599999999998,4.07646,4.06756,3.81123,3.64099
19567,17350681,6.181019999999999,6.26518,5.85376,6.06576,5.87741,5.95547,5.97348
19568,17350684,5.29154,5.46609,5.51623,6.00215,6.48286,5.27032,5.6006
19569,17350691,5.86934,5.43045,5.87022,6.056,5.8430800000000005,5.67272,5.568309999999999
19570,17350693,5.56758,5.25585,4.87706,6.00931,5.65458,5.61624,5.56553
19571,17350695,4.63976,4.51042,4.95845,5.13954,4.76109,4.51461,4.8242400000000005
19572,17350697,6.19916,7.10048,6.86291,6.77383,6.29411,6.64049,6.811439999999999
19573,17350718,6.80083,6.96502,6.74361,6.94039,6.3765,6.55555,6.754160000000001
19574,17350730,3.9885699999999997,4.15594,4.23525,4.45995,3.7877400000000003,4.02083,4.52648
19575,17350740,9.59468,9.09259,9.56882,9.44175,9.65685,9.379719999999999,9.55631
19576,17350754,5.87823,5.61901,5.5864400000000005,6.12896,5.9115400000000005,5.60239,5.66181
19577,17350760,4.25186,3.94849,3.98366,4.0173,3.4617199999999997,4.13705,4.04026
19578,17350762,5.65203,5.55775,4.843319999999999,5.45325,6.02228,5.61245,6.17595
19579,17350790,7.549410000000001,7.78552,7.46815,7.72986,7.7995399999999995,7.69908,8.07954
19580,17350801,3.94035,4.10449,3.6886900000000002,4.34639,4.0869599999999995,4.02254,4.1603900000000005
19581,17350806,4.48996,4.8426,4.442740000000001,4.639869999999999,4.69525,4.522959999999999,4.2868900000000005
19582,17350811,3.25527,3.44179,3.67455,3.93145,3.36073,3.3410599999999997,3.21522
19583,17350824,8.663269999999999,8.28858,9.35163,8.56402,7.98451,7.58298,7.753769999999999
19584,17350853,3.16919,3.5266,3.58785,3.5470099999999998,3.36974,3.35786,3.8779199999999996
19585,17350856,3.94506,4.29475,4.02345,4.2014,3.8553699999999997,3.72172,3.51419
19586,17350869,8.88384,8.87871,8.30463,9.016010000000001,9.04926,8.822280000000001,9.01492
19587,17350876,4.384440000000001,4.23583,4.44436,4.61801,4.31209,4.25456,4.38357
19588,17350901,4.14844,4.79932,4.57022,4.8128,5.17606,4.471019999999999,4.25782
19589,17350909,5.19945,5.54136,5.35326,5.397880000000001,5.40816,5.10037,5.31341
19590,17350914,2.8371,5.11799,4.09069,6.96812,5.16314,5.167000000000001,4.99942
19591,17350916,4.38199,4.0199,5.05311,4.56619,3.6882,3.7436599999999998,3.9445300000000003
19592,17350921,4.77874,4.09938,5.46512,5.062130000000001,4.184159999999999,4.17664,4.24045
19593,17350925,5.47654,4.873530000000001,6.72215,4.90952,3.93225,4.2645599999999995,4.81065
19594,17350932,3.95856,3.9413699999999996,4.10542,4.12498,3.9761699999999998,3.9830400000000004,4.02551
19595,17350936,10.0975,10.0435,9.92179,9.99286,9.71009,9.69017,9.783489999999999
19596,17350952,9.26532,9.09778,8.88161,8.98205,8.73775,8.98295,9.02105
19597,17350966,5.53289,5.09316,5.008290000000001,5.43551,5.4029,5.152419999999999,5.50945
19598,17350970,6.26543,6.06452,6.17753,6.3013699999999995,5.9461,6.01802,5.9589099999999995
19599,17350982,7.63311,7.61516,9.25315,7.17702,5.4305900000000005,6.937289999999999,6.75139
19600,17350996,5.42076,6.23185,5.56815,6.14237,6.23231,6.07028,7.12325
19601,17351001,4.63176,5.24292,5.91539,5.74389,4.87631,4.9394599999999995,5.28941
19602,17351027,5.669569999999999,6.66627,7.62742,5.617290000000001,5.74067,6.390680000000001,5.86031
19603,17351053,5.98841,6.10885,7.05237,5.78423,6.35083,6.13806,5.71345
19604,17351082,3.77541,5.37488,6.68372,4.44456,4.32216,4.8718900000000005,4.692880000000001
19605,17351109,3.16885,2.81474,2.9437900000000004,3.22232,2.60982,2.9161900000000003,2.85813
19606,17351111,9.89696,10.1197,9.80071,10.2644,9.87085,9.88136,9.804689999999999
19607,17351133,4.080830000000001,3.80358,4.166919999999999,4.28074,3.99169,3.5065,3.47479
19608,17351137,2.57101,2.36844,2.78218,2.01708,2.29862,2.27202,2.19044
19609,17351141,6.145519999999999,5.32104,5.71864,5.45444,5.41801,5.81821,5.77591
19610,17351143,4.15952,3.97994,4.08142,4.27269,4.35955,4.18149,4.2035599999999995
19611,17351163,4.69115,4.32991,4.21368,4.68053,4.37319,4.25445,4.26817
19612,17351168,4.26366,4.843319999999999,4.27997,4.77018,4.23913,4.75139,4.81869
19613,17351178,3.6185099999999997,3.8974900000000003,3.8953,3.9791300000000005,3.99053,3.9333,3.5893900000000003
19614,17351193,3.86024,4.35123,4.5208699999999995,4.81113,3.9394699999999996,4.1562,3.9748
19615,17351196,5.33173,6.20003,7.210160000000001,5.79023,5.06214,5.39578,5.10985
19616,17351204,8.02478,8.08907,8.071069999999999,7.80588,7.749110000000001,7.912560000000001,7.824039999999999
19617,17351222,1.42275,1.65189,1.31639,1.4105299999999998,3.10901,1.6438400000000002,1.3595
19618,17351224,1.56569,1.78738,1.8407099999999998,1.86736,1.7337200000000001,1.3238299999999998,2.0731900000000003
19619,17351226,2.71924,2.98085,3.1082400000000003,2.9306900000000002,3.01863,3.12055,2.5596
19620,17351228,2.94651,2.55796,2.3826099999999997,2.5453900000000003,2.5646400000000003,2.7263900000000003,2.6797
19621,17351230,2.54609,2.28767,2.41716,2.28496,2.1795,2.45479,3.1964900000000003
19622,17351232,7.859360000000001,8.53161,8.43277,8.281,7.8872100000000005,7.856160000000001,7.957669999999999
19623,17351262,5.46983,7.482939999999999,7.1676899999999995,6.5233,5.98068,6.1321900000000005,5.65895
19624,17351273,7.013610000000001,8.353710000000001,7.396210000000001,7.503080000000001,7.479019999999999,7.536580000000001,7.6466
19625,17351280,3.12888,2.26373,2.1273400000000002,2.9653400000000003,2.85029,2.09438,2.4094599999999997
19626,17351282,6.41564,7.266839999999999,6.94445,6.53086,8.43879,6.0442,5.885669999999999
19627,17351321,4.337619999999999,4.67566,4.328880000000001,5.10762,4.70785,4.44391,4.46879
19628,17351323,4.7669999999999995,4.360040000000001,4.26271,4.73196,4.6463,4.284590000000001,4.6056099999999995
19629,17351328,5.44289,5.865469999999999,5.7358,5.56383,5.6609,5.5155,5.4258
19630,17351330,9.265130000000001,8.74864,8.57348,9.45123,9.70845,8.95076,9.419789999999999
19631,17351351,8.48484,7.54343,7.71461,7.2496100000000006,7.70177,7.47156,7.59985
19632,17351364,5.58988,4.58661,5.33036,4.38438,4.54805,4.69571,4.5243
19633,17351384,7.456160000000001,8.02412,7.93475,7.35423,7.48146,6.807580000000001,7.801939999999999
19634,17351396,5.29995,5.20041,5.2943,5.304869999999999,4.85156,5.16541,5.10348
19635,17351404,4.7665,4.9443,4.88093,4.895519999999999,3.6889,4.47844,4.69696
