Gene_ID	adj.P.Val
56204	0.1948
80115	0.1948
347735	0.1948
7052	0.1958
10825	0.1958
79170	0.1958
2152	0.1958
3918	0.1974
1903	0.2004
5947	0.2004
9180	0.2004
64073	0.2004
85027	0.2004
4045	0.2015
158471	0.2015
6236	0.2027
114883	0.2067
119	0.2081
2886	0.2081
388730	0.2081
12	0.2081
27075	0.2081
5606	0.2081
56937	0.2081
81606	0.2084
11162	0.2084
388564	0.2091
55646	0.2091
5168	0.2091
54947	0.2099
101928516	0.2102
92691	0.2102
255189	0.2106
55201	0.2112
1491	0.2112
858	0.2112
55914	0.2143
6242	0.2149
90293	0.2154
84952	0.2163
84188	0.2164
7571	0.2169
3488	0.2169
56265	0.2194
8091	0.2194
7852	0.2194
6646	0.2194
4681	0.2221
84830	0.2225
5569	0.2232
627	0.2236
56667	0.2245
9235	0.2258
205564	0.2271
1534	0.2271
11162	0.2271
79844	0.2271
821	0.2271
11167	0.2271
79968	0.2271
3855	0.2271
330	0.2299
51514	0.2299
2810	0.2299
92344	0.2299
7103	0.2301
10124	0.2301
728695	0.2302
4352	0.2332
8602	0.2353
51621	0.2353
9338	0.23600000000000002
51550	0.2363
6815	0.2363
1308	0.2366
9725	0.2371
444	0.2371
7351	0.2371
84450	0.2371
6296	0.2371
-	0.2371
1917	0.2384
6189	0.2384
5744	0.2384
56997	0.2392
8558	0.2392
162681	0.2392
151258	0.2392
10317	0.2392
7431	0.2392
6296	0.2392
2217	0.2392
64116	0.2392
23022	0.2392
56848	0.2395
83468	0.2415
57402	0.2424
5879	0.2424
114879	0.243
1806	0.243
444	0.243
91107	0.243
3306	0.243
5165	0.243
5358	0.243
8076	0.243
214	0.2453
155054	0.2474
5552	0.2483
2859	0.2485
84532	0.2497
5507	0.2508
6616	0.2508
55214	0.2508
389289	0.2518
54438	0.2518
51661	0.252
5358	0.252
79001	0.2534
947	0.2537
29881	0.2537
11141	0.2537
84319	0.2537
6480	0.2537
57561	0.2537
1346	0.2537
84709	0.2537
10752	0.2537
139170	0.2553
5569	0.2553
10149	0.2565
51523	0.2565
145781	0.2565
3728	0.2565
