Gene_ID	binary
55008	0
83666	0
5082	0
252952	0
84056	0
146395	0
3202	0
84896	0
140578	0
3081	0
5436	0
30061	0
83866	0
51004	0
3620	0
146802	0
4883	0
11329	0
10516	0
29	0
3909	0
1491	0
6249	0
10079	0
23368	0
56145	0
8659	0
2274	0
9093	0
51057	0
260294	0
1647	0
80347	0
6712	0
57678	0
155006	0
1660	0
147685	0
821	0
976	0
147664	0
10107	0
145447	0
80742	0
2222	0
154661	0
537	0
958	0
8916	0
11015	0
148014	0
65009	0
55357	0
3872	0
154214	0
79365	0
11103	0
64115	0
9185	0
6941	0
4345	0
56983	0
90850	0
84440	0
4739	0
-	0
55833	0
7203	0
9274	0
23047	0
9196	0
59269	0
6519	0
89870	0
59286	0
54865	0
84992	0
8938	0
11234	0
55328	0
8867	0
84561	0
3990	0
1809	0
23767	0
51534	0
55841	0
955	0
26206	0
10660	0
978	0
55286	0
7025	0
5493	0
694	0
81671	0
9582	0
2745	0
10418	0
4087	0
-	0
54880	0
604	0
124402	0
65268	0
4157	0
4192	0
816	0
9204	0
57718	0
64411	0
80833	0
55332	0
558	0
10136	0
205	0
9657	0
26018	0
715	0
11001	0
55544	0
197131	0
57380	0
