Gene.symbol,binary
VPS41,0
DIO1,0
ELF5,0
HS3ST3A1,0
DEPTOR,0
NUPR1,0
CHRNB3,0
SPR,0
GALNT1,0
LINC01050,0
NME1,0
PLTP,0
APOL6,0
C1orf53,0
RASSF6,0
NANP,0
DUSP6,0
SULT1A1,0
CA11,0
DUSP1,0
FOXP2,0
TTC12,0
IGIP,0
KLF2,0
RAB3IP,0
DCAF12L1,0
RAPGEF1,0
NAA30,0
LOC105378052,0
PDIA2,0
ATP5B,0
ETS1,0
SKAP1,0
E2F7,0
FUT10,0
DPAGT1,0
GCHFR,0
TMEM64,0
PDZD7,0
ADM,0
SDCBP2,0
RAB24,0
PPAT,0
PAICS,0
GLOD4,0
LGMN,0
RITA1,0
PRKCZ,0
EPCAM,0
ARID3B,0
SRP72,0
PSAP,0
ZFP36L1,0
SPG7,0
SOD2,0
CD2BP2,0
DUSP10,0
TTLL1,0
AKAP14,0
WRN,0
ZNF483,0
SERPINB4,0
LRRC31,0
AUNIP,0
SH3RF1,0
ZFP36L2,0
FHL2,0
SLC39A9,0
FAM65A,0
OSBPL5,0
CXCL16,0
GALE,0
WWC2-AS1,0
ATF6,0
TBL1X,0
ZNF529,0
TSPYL1,0
NMNAT3,0
MPHOSPH9,0
EMX1,0
TP53AIP1,0
TSSC1,0
TADA3,0
YME1L1,0
VPS37D,0
DHX40,0
GTF3C4,0
AXIN2,0
SNORD14D,0
SULT1C2,0
MVP,0
LRRN2,0
FAT2,0
LARS,0
SLC19A3,0
TMEM200A,0
FRMD6,0
PRR3,0
DESI1,0
PMM1,0
MMP9,0
JUNB,0
SYNGAP1,0
ZNF471,0
KCTD6,0
BBOX1,0
ZC3HC1,0
TMEM130,0
LRRC8D,0
TTLL9,0
SLU7,0
RBM47,0
BTAF1,0
SUSD3,0
RPN2,0
NEK6,0
CATSPER1,0
RRAS2,0
LINC00284,0
MTMR7,0
PTPN12,0
EXOC2,0
CMTM7,0
TOX,0
GABARAPL2,0
TCF3,0
CUZD1,0
RGS2,0
RPL15,0
PCSK9,0
NUP50,0
ST8SIA5,0
MDFIC,0
MUTYH,0
MAP4K5,0
CCDC88B,0
ANKRD16,0
LINC01589,0
GPR108,0
C1QC,0
FUCA1,0
GSTM4,0
LHX6,0
TOX3,0
UTS2B,0
HES6,0
PFKFB3,0
COPS8,0
STAT1,0
ASIC1,0
NREP,0
KLHL13,0
ZNF567,0
SEPT2,0
MYOM3,0
STC1,0
IGFBP7,0
TMSB15B,0
PPP2R3C,0
HABP4,0
FBXO2,0
DAP,0
STX19,0
NXN,0
TRIM46,0
CD36,0
TUBG1,0
RIN2,0
TNFSF9,0
STXBP6,0
PLAC8L1,0
PRAME,0
TLL1,0
C8orf4,0
RN7SK,0
TIGD7,0
BCL10,0
KCNK5,0
ZEB1,0
SSFA2,0
DYM,0
ARL16,0
C4BPB,0
PLEKHA2,0
UBXN10,0
OAF,0
JPH1,0
GABRP,0
SLC17A3,0
COASY,0
TEX38,0
ACSM3,0
SEMA3D,0
FGG,0
AMY2B,0
CUTA,0
KRT12,0
MAPK1IP1L,0
RFC5,0
COX20,0
CD44,0
SUPT3H,0
OR7E156P,0
CACNG8,0
CDK7,0
RAPGEF3,0
CORO7,0
INO80C,0
SHC1,0
NCBP2,0
POP1,0
LMO4,0
MFNG,0
GTF3A,0
SGF29,0
NPC1,0
CHAT,0
B3GALNT1,0
STRADA,0
ZBED6CL,0
ACSL4,0
SMAD7,0
IRF9,0
CAPN13,0
DLEC1,0
KMT2E,0
FXR1,0
GBE1,0
PPM1B,0
SPRY1,0
ANGPTL4,0
SUCLA2,0
SCOC,0
SSU72,0
C3,0
ECHDC3,0
ZNF646,0
MAGEA11,0
LHFP,0
SYNE1,0
ASRGL1,0
HILPDA,0
TUBB4B,0
FDFT1,0
SNX10,0
JSRP1,0
D2HGDH,0
CASZ1,0
AFM,0
RPL39L,0
SPINK13,0
HAUS8,0
FNDC4,0
ZC3HAV1L,0
ADPRH,0
KDELC1,0
USP2,0
OR5AU1,0
COX19,0
TRPV3,0
GTF2IRD2B,0
PLPPR1,0
MCM4,0
ADAT2,0
PGK1,0
PAGR1,0
SOD2,0
MTFP1,0
PVRIG,0
ANXA2,0
RPL23AP32,0
PIFO,0
PARD6A,0
LMO3,0
FIGN,0
ZNF30,0
FAM127B,0
ZFAT,0
TNFRSF9,0
CACNB1,0
SQRDL,0
CNBD2,0
AKAP12,0
REC8,0
MON2,0
RPL37A,0
RDH12,0
RGS3,0
FAM86C1,0
SYNC,0
PTPN5,0
PGK1,0
SLC15A4,0
CCND3,0
MTPN,0
ABHD12B,0
ID2,0
CFB,0
ACO2,0
ZNF365,0
ENO1,0
PRPS1,0
RMND5A,0
STARD13,0
CUBN,0
NUDC,0
PHLDA2,0
IFI6,0
IL36B,0
HORMAD1,0
FAM189A1,0
RXRB,0
KIAA0556,0
JKAMP,0
FGF12,0
GDI2,0
TRIM13,0
ANKS1A,0
LOC101927851,0
PDXK,0
DIXDC1,0
MAP3K7,0
GAMT,0
RAB32,0
TWSG1,0
CCM2L,0
SSX1,0
ECH1,0
SEC31B,0
LPIN2,0
PRR5L,0
CREB1,0
CPSF6,0
UGT8,0
VAT1,0
MAP2K3,0
OR11H12,0
SNHG15,0
CHSY3,0
PITX3,0
ZNF768,0
KRCC1,0
CRTC2,0
FUT3,0
TPD52L3,0
CBX2,0
ZSCAN31,0
POLE2,0
PARD3B,0
CAB39L,0
TMEM80,0
KCNG3,0
EFNA4,0
PCGF6,0
SLC25A42,0
THSD4,0
LRRC17,0
MYEOV,0
RARS2,0
SGSH,0
BIRC7,0
ANKRD22,0
PMP22,0
PAGR1,0
KDF1,0
PRIM1,0
PRMT6,0
AJAP1,0
IFIT1,0
DDX1,0
KLF10,0
RPL13P5,0
GIPC2,0
KRT10,0
ID1,0
RGS3,0
ERCC1,0
BBS12,0
ZNF202,0
SUMF2,0
JAKMIP2,0
EPHB1,0
G3BP1,0
FRMD5,0
PYCR2,0
C10orf53,0
COL27A1,0
CD99L2,0
POLR3H,0
C3orf14,0
EMP3,0
BFSP2,0
WNT7A,0
BIRC2,0
FOXC2,0
ZSCAN32,0
HAO2,0
TRPM8,0
NRP2,0
CHEK2,0
DSG3,0
ZNF789,0
ADAMTS5,0
LARP6,0
BTBD16,0
EPHX1,0
PLEKHA2,0
ARL5A,0
ZNF616,0
AK8,0
PAGE4,0
DHRS7,0
KDELR3,0
FABP5,0
SLC41A3,0
MCM10,0
DNAJB12,0
C12orf76,0
FXYD2,0
SLC9A6,0
