Gene Symbol	Gene ID	
TAGLN	6876	
STXBP5	134957	
LAMC2	3918	
DCBLD2	131566	
PTGIS	5740	
F3	2152	
ZNF365	22891	
PFKFB4	5210	
CA12	771	
BRE	9577	
DNAJB5	25822	
STARD3	10948	
C7orf57	136288	
SEL1L3	23231	
TRIM41	90933	
NTNG1	22854	
SMOC2	64094	
WDR38	401551	
TGM3	7053	
SEPHS2	22928	
NPNT	255743	
STK31	56164	
ITGAV	3685	
GMDS	2762	
C17orf58	284018	
COL4A5	1287	
TMEM131	23505	
LIFR	3977	
PRKCDBP	-	
SUSD6	9766	
SIGIRR	59307	
FOXP1	27086	
BICC1	80114	
STUB1	10273	
EPB41L2	2037	
ADGRE1	2015	
ST8SIA4	7903	
ATP6V0A2	23545	
PIP4K2A	5305	
BEX1	55859	
LEFTY1	10637	
TP53I11	9537	
CA12	771	
TMEM56	-	
HIF1A	3091	
CAPN9	10753	
NAPSB	256236	
PRSS12	8492	
OPN4	94233	
WDR72	256764	
MAGEA8	4107	
C7orf49	-	
SIGLEC6	946	
AGPAT2	10555	
ADI1	55256	
DBT	1629	
ZNF548	147694	
FAM25A	643161	
SLC24A1	9187	
IFITM1	8519	
PSMC4	5704	
FGF2	2247	
ADGRG1	9289	
ARRB1	408	
OR5B21	219968	
ASS1	445	
MAD1L1	8379	
CAPRIN2	65981	
RPS6	6194	
INTS5	80789	
CEBPD	1052	
ST8SIA4	7903	
AGR2	10551	
P4HA1	5033	
NAV2	89797	
CHMP2A	27243	
RTN4	57142	
ZNF419	79744	
PANX1	24145	
RTN1	6252	
RAI1	10743	
GATA6	2627	
SYTL2	54843	
RRAD	6236	
PLSCR4	57088	
NT5C2	22978	
DCBLD2	131566	
LDHA	3939	
TMEM163	81615	
KCNK17	89822	
SNN	8303	
PLCH2	9651	
RFTN1	23180	
CMTM8	152189	
TACSTD2	4070	
EXT2	2132	
LYAR	55646	
ALDH3A1	218	
CXCL2	2920	
SLC1A1	6505	
SOX13	9580	
CALML4	91860	
SNX12	29934	
DNMT3B	1789	
HIF1A	3091	
TCTA	6988	
RAD23A	5886	
TMEM98	26022	
PYGL	5836	
IGFBP5	3488	
PDLIM5	10611	
ITGB1	3688	
PGM2L1	283209	
ERAP2	64167	
LILRB5	10990	
VWA5A	4013	
ARL5B	221079	
BCAT2	587	
DCLK2	166614	
GLMP	112770	
VAC14	55697	
FGFBP1	9982	
AKIRIN1	79647	
TBPL2	387332	
LIPG	9388	
DDAH1	23576	
EPS8L1	54869	
A3GALT2	127550	
CCNA1	8900	
RBMS1	5937	
PSMC3IP	29893	
ADIRF	10974	
DIXDC1	85458	
TSC22D1	8848	
CALU	813	
GPRC5C	55890	
HIKESHI	51501	
PSAT1	29968	
HK2	3099	
CTHRC1	115908	
MUT	4594	
CCDC187	399693	
GDA	9615	
PPP1R3B	79660	
ZNF703	80139	
MATN3	4148	
HSF2BP	11077	
BNIP1	662	
L3HYPDH	112849	
PHF3	23469	
NDUFAF6	137682	
ABCG2	9429	
CLDN1	9076	
COL8A1	1295	
SDCBP2	27111	
RNF44	22838	
VWA2	340706	
ATP6V0A4	50617	
WDR13	64743	
CEP19	84984	
FCGR2B	2213	
NHLRC3	387921	
VSIG2	23584	
GPC6	10082	
DKK3	27122	
MYLK	4638	
IL6	3569	
BRCA1	672	
NEK1	4750	
LOC400743	-	
BEX1	55859	
CTHRC1	115908	
KIAA1683	80726	
DBNDD1	79007	
SYTL2	54843	
VPS16	64601	
NEK8	284086	
TTYH3	80727	
EYA4	2070	
TPI1	7167	
INF2	64423	
LAMC2	3918	
SAMD9	54809	
VCAN	1462	
JADE3	9767	
SERPINB8	5271	
IL6R	3570	
PLCL2	23228	
TFF2	7032	
KIAA1211L	-	
FAM110A	83541	
ELF2	1998	
MCFD2	90411	
HPS6	79803	
RIT1	6016	
HAL	3034	
RAD21	5885	
TRIM36	55521	
AEN	64782	
PIK3IP1	113791	
IKBIP	121457	
TRIB2	28951	
SPTSSA	171546	
ZNF750	79755	
NEDD9	4739	
PKP2	5318	
BANP	54971	
DNM3	26052	
TMEM51	55092	
IL17RB	55540	
USP37	57695	
ZNF681	148213	
SUGCT	79783	
COX5A	9377	
PPFIBP2	8495	
OLFM1	10439	
ECI1	1632	
SMAP2	64744	
SYNRG	11276	
PLEKHH3	79990	
C1S	716	
ARL3	403	
MTBP	27085	
COMMD7	149951	
BBOF1	80127	
PTBP3	9991	
DHX9	1660	
ENPP2	5168	
IFT122	55764	
INF2	64423	
BAMBI	25805	
LRRK2	120892	
LOC100506289	100506289	
SLC16A10	117247	
GTF2E1	2960	
PI4KAP1	728233	
LOC100506127	-	
SH3GL3	6457	
ZCCHC12	170261	
LAMC1	3915	
RXRG	6258	
ACADS	35	
KHDRBS3	10656	
SLC30A2	7780	
PTHLH	5744	
VRK3	51231	
TRAF5	7188	
C1orf54	79630	
CCDC127	133957	
GJB6	10804	
RTKN	6242	
CD70	970	
GK	2710	
FAM126B	285172	
NTNG1	22854	
PDZK1IP1	10158	
RER1	11079	
HERC6	55008	
PARP9	83666	
PDCL	5082	
TTTY19	252952	
KATNAL1	84056	
SHB	6461	
GSG1L	146395	
HOXA5	3202	
PNPO	55163	
ATAD1	84896	
CHODL	140578	
HGD	3081	
POLR2G	5436	
NKAIN4	128414	
SLC40A1	30061	
BTNL9	153579	
TTTY11	83866	
COQ6	51004	
IDO1	3620	
SLC47A2	146802	
NPR3	4883	
STK38	11329	
FBLN5	10516	
ABR	29	
LAMA3	3909	
CTH	1491	
CLIP1	6249	
ATP9A	10079	
TIFA	92610	
