"active.cases.percentage","expression.mappings","expression_data_geneId_binary.txt - % active/dysregulated","expression_data_geneId_binary.txt - Total active/dysregulated","HGNC","in.negative.list","in.positive.list","is.exception","is.mapped.to.datasets","name","node.hits","node.hits.normalized","node.total.hits","node.total.hits.normalized","selected","shared name"
"0.0","0","0.0","0","EP300","false","false","true","no","2033","0","0.0","0","0.0","false","2033"
"0.0","0","0.0","0","TSG101","false","false","true","no","7251","0","0.0","0","0.0","false","7251"
"0.0","1","0.0","0","BAG1","false","false","true","yes","573","0","0.0","0","0.0","false","573"
"0.0","0","0.0","0","MET","false","false","true","no","4233","0","0.0","0","0.0","false","4233"
"0.0","1","0.0","0","GRK2","false","false","true","yes","156","0","0.0","0","0.0","false","156"
"0.0","1","0.0","0","AKAP12","false","false","true","yes","9590","0","0.0","0","0.0","false","9590"
"0.0","1","0.0","0","FYB1","false","false","true","yes","2533","0","0.0","0","0.0","false","2533"
"0.0","1","0.0","0","SKAP2","false","false","true","yes","8935","0","0.0","0","0.0","false","8935"
"0.0","0","0.0","0","HOXB7","false","false","true","no","3217","0","0.0","0","0.0","false","3217"
"0.0","1","0.0","0","CREBBP","false","false","true","yes","1387","0","0.0","0","0.0","false","1387"
"0.0","1","0.0","0","STX3","false","false","true","yes","6809","0","0.0","0","0.0","false","6809"
"0.0","0","0.0","0","VAMP3","false","false","true","no","9341","0","0.0","0","0.0","false","9341"
"0.0","1","0.0","0","CD28","false","false","true","yes","940","0","0.0","0","0.0","false","940"
"0.0","1","0.0","0","LCK","false","false","true","yes","3932","0","0.0","0","0.0","false","3932"
"0.0","1","0.0","0","CRHR2","false","false","true","yes","1395","0","0.0","0","0.0","false","1395"
"0.0","1","0.0","0","UCN","false","false","true","yes","7349","0","0.0","0","0.0","false","7349"
"0.0","1","0.0","0","SMAD1","false","false","true","yes","4086","0","0.0","0","0.0","false","4086"
"0.0","1","0.0","0","ZNF8","false","false","true","yes","7554","0","0.0","0","0.0","false","7554"
"0.0","1","0.0","0","GPC1","false","false","true","yes","2817","0","0.0","0","0.0","false","2817"
"0.0","1","0.0","0","SLIT1","false","false","true","yes","6585","0","0.0","0","0.0","false","6585"
"0.0","1","0.0","0","HIVEP3","false","false","true","yes","59269","0","0.0","0","0.0","false","59269"
"0.0","1","0.0","0","TANK","false","false","true","yes","10010","0","0.0","0","0.0","false","10010"
"0.0","0","0.0","0","EXOSC3","false","false","true","no","51010","0","0.0","0","0.0","false","51010"
"0.0","1","0.0","0","EXOSC5","false","false","true","yes","56915","0","0.0","0","0.0","false","56915"
"0.0","0","0.0","0","PAX5","false","false","true","no","5079","0","0.0","0","0.0","false","5079"
"0.0","1","0.0","0","DAXX","false","false","true","yes","1616","0","0.0","0","0.0","false","1616"
"0.0","1","0.0","0","FGA","false","false","true","yes","2243","0","0.0","0","0.0","false","2243"
"0.0","1","0.0","0","NID1","false","false","true","yes","4811","0","0.0","0","0.0","false","4811"
"0.0","0","0.0","0","NFE2L2","false","false","true","no","4780","0","0.0","0","0.0","false","4780"
"0.0","1","0.0","0","MAFF","false","false","true","yes","23764","0","0.0","0","0.0","false","23764"
"0.0","0","0.0","0","MST1R","false","false","true","no","4486","0","0.0","0","0.0","false","4486"
"0.0","1","0.0","0","STK4","false","false","true","yes","6789","0","0.0","0","0.0","false","6789"
"0.0","1","0.0","0","DLGAP1","false","false","true","yes","9229","0","0.0","0","0.0","false","9229"
"0.0","0","0.0","0","DYNLL2","false","false","true","no","140735","0","0.0","0","0.0","false","140735"
"0.0","1","0.0","0","ACTB","false","false","true","yes","60","0","0.0","0","0.0","false","60"
"0.0","1","0.0","0","TPM2","false","false","true","yes","7169","0","0.0","0","0.0","false","7169"
"0.0","1","0.0","0","IL1RAP","false","false","true","yes","3556","0","0.0","0","0.0","false","3556"
"0.0","1","0.0","0","IL1R2","false","false","true","yes","7850","0","0.0","0","0.0","false","7850"
"0.0","0","0.0","0","INSR","false","false","true","no","3643","0","0.0","0","0.0","false","3643"
"0.0","0","0.0","0","INSRR","false","false","true","no","3645","0","0.0","0","0.0","false","3645"
"0.0","0","0.0","0","EPS15","false","false","true","no","2060","0","0.0","0","0.0","false","2060"
"0.0","1","0.0","0","ITSN1","false","false","true","yes","6453","0","0.0","0","0.0","false","6453"
"0.0","0","0.0","0","ZFP42","false","false","true","no","132625","0","0.0","0","0.0","false","132625"
"0.0","1","0.0","0","TRIM28","false","false","true","yes","10155","0","0.0","0","0.0","false","10155"
"0.0","1","0.0","0","ARF3","false","false","true","yes","377","0","0.0","0","0.0","false","377"
"0.0","1","0.0","0","GGA2","false","false","true","yes","23062","0","0.0","0","0.0","false","23062"
"0.0","1","0.0","0","BARD1","false","false","true","yes","580","0","0.0","0","0.0","false","580"
"0.0","0","0.0","0","SETDB1","false","false","true","no","9869","0","0.0","0","0.0","false","9869"
"0.0","1","0.0","0","FGF5","false","false","true","yes","2250","0","0.0","0","0.0","false","2250"
"0.0","1","0.0","0","TGFA","false","false","true","yes","7039","0","0.0","0","0.0","false","7039"
"0.0","0","0.0","0","ERBB4","false","false","true","no","2066","0","0.0","0","0.0","false","2066"
"0.0","1","0.0","0","EREG","false","false","true","yes","2069","0","0.0","0","0.0","false","2069"
"0.0","0","0.0","0","AP1B1","false","false","true","no","162","0","0.0","0","0.0","false","162"
"0.0","1","0.0","0","CLTC","false","false","true","yes","1213","0","0.0","0","0.0","false","1213"
"0.0","1","0.0","0","TSC22D3","false","false","true","yes","1831","0","0.0","0","0.0","false","1831"
"0.0","1","0.0","0","JUN","false","false","true","yes","3725","0","0.0","0","0.0","false","3725"
"0.0","0","0.0","0","CCL28","false","false","true","no","56477","0","0.0","0","0.0","false","56477"
"0.0","1","0.0","0","CCR3","false","false","true","yes","1232","0","0.0","0","0.0","false","1232"
"0.0","1","0.0","0","DDX3X","false","false","true","yes","1654","0","0.0","0","0.0","false","1654"
"0.0","1","0.0","0","KIF5A","false","false","true","yes","3798","0","0.0","0","0.0","false","3798"
"0.0","1","0.0","0","ESR1","false","false","true","yes","2099","0","0.0","0","0.0","false","2099"
"0.0","1","0.0","0","MAPK1","false","false","true","yes","5594","0","0.0","0","0.0","false","5594"
"0.0","0","0.0","0","FOS","false","false","true","no","2353","0","0.0","0","0.0","false","2353"
"0.0","0","0.0","0","RELA","false","false","true","no","5970","0","0.0","0","0.0","false","5970"
"0.0","1","0.0","0","CHRM2","false","false","true","yes","1129","0","0.0","0","0.0","false","1129"
"0.0","0","0.0","0","GPRASP1","false","false","true","no","9737","0","0.0","0","0.0","false","9737"
"0.0","1","0.0","0","SERGEF","false","false","true","yes","26297","0","0.0","0","0.0","false","26297"
"0.0","1","0.0","0","EXOC2","false","false","true","yes","55770","0","0.0","0","0.0","false","55770"
"0.0","1","0.0","0","RB1","false","false","true","yes","5925","0","0.0","0","0.0","false","5925"
"0.0","1","0.0","0","BRD8","false","false","true","yes","10902","0","0.0","0","0.0","false","10902"
"0.0","1","0.0","0","LRP2","false","false","true","yes","4036","0","0.0","0","0.0","false","4036"
"0.0","1","0.0","0","SIAH1","false","false","true","yes","6477","0","0.0","0","0.0","false","6477"
"0.0","1","0.0","0","KHDRBS3","false","false","true","yes","10656","0","0.0","0","0.0","false","10656"
"0.0","1","0.0","0","ARF6","false","false","true","yes","382","0","0.0","0","0.0","false","382"
"0.0","1","0.0","0","CHRM3","false","false","true","yes","1131","0","0.0","0","0.0","false","1131"
"0.0","1","0.0","0","BNIP2","false","false","true","yes","663","0","0.0","0","0.0","false","663"
"0.0","1","0.0","0","FGFR1","false","false","true","yes","2260","0","0.0","0","0.0","false","2260"
"0.0","1","0.0","0","TIRAP","false","false","true","yes","114609","0","0.0","0","0.0","false","114609"
"0.0","1","0.0","0","TICAM2","false","false","true","yes","353376","0","0.0","0","0.0","false","353376"
"0.0","1","0.0","0","PPARA","false","false","true","yes","5465","0","0.0","0","0.0","false","5465"
"0.0","0","0.0","0","CEP350","false","false","true","no","9857","0","0.0","0","0.0","false","9857"
"0.0","1","0.0","0","CASP3","false","false","true","yes","836","0","0.0","0","0.0","false","836"
"0.0","1","0.0","0","PDE10A","false","false","true","yes","10846","0","0.0","0","0.0","false","10846"
"0.0","1","0.0","0","PRKD1","false","false","true","yes","5587","0","0.0","0","0.0","false","5587"
"0.0","1","0.0","0","WWP1","false","false","true","yes","11059","0","0.0","0","0.0","false","11059"
"0.0","1","0.0","0","WBP1","false","false","true","yes","23559","0","0.0","0","0.0","false","23559"
"0.0","0","0.0","0","PRKCA","false","false","true","no","5578","0","0.0","0","0.0","false","5578"
"0.0","1","0.0","0","RGS2","false","false","true","yes","5997","0","0.0","0","0.0","false","5997"
"0.0","1","0.0","0","EXOSC1","false","false","true","yes","51013","0","0.0","0","0.0","false","51013"
"0.0","0","0.0","0","GLUD1","false","false","true","no","2746","0","0.0","0","0.0","false","2746"
"0.0","1","0.0","0","DYNLL1","false","false","true","yes","8655","0","0.0","0","0.0","false","8655"
"0.0","0","0.0","0","TRAF3","false","false","true","no","7187","0","0.0","0","0.0","false","7187"
"0.0","0","0.0","0","RIPK1","false","false","true","no","8737","0","0.0","0","0.0","false","8737"
"0.0","1","0.0","0","ABI3","false","false","true","yes","51225","0","0.0","0","0.0","false","51225"
"0.0","1","0.0","0","PKN1","false","false","true","yes","5585","0","0.0","0","0.0","false","5585"
"0.0","1","0.0","0","HDAC1","false","false","true","yes","3065","0","0.0","0","0.0","false","3065"
"0.0","1","0.0","0","PHB","false","false","true","yes","5245","0","0.0","0","0.0","false","5245"
"0.0","1","0.0","0","SDCBP","false","false","true","yes","6386","0","0.0","0","0.0","false","6386"
"0.0","1","0.0","0","SDC3","false","false","true","yes","9672","0","0.0","0","0.0","false","9672"
"0.0","1","0.0","0","FOXH1","false","false","true","yes","8928","0","0.0","0","0.0","false","8928"
"0.0","1","0.0","0","SMAD4","false","false","true","yes","4089","0","0.0","0","0.0","false","4089"
"0.0","1","0.0","0","SMAD3","false","false","true","yes","4088","0","0.0","0","0.0","false","4088"
"0.0","1","0.0","0","LEF1","false","false","true","yes","51176","0","0.0","0","0.0","false","51176"
"0.0","1","0.0","0","ARL3","false","false","true","yes","403","0","0.0","0","0.0","false","403"
"0.0","1","0.0","0","UNC119","false","false","true","yes","9094","0","0.0","0","0.0","false","9094"
"0.0","1","0.0","0","SNRPD1","false","false","true","yes","6632","0","0.0","0","0.0","false","6632"
"0.0","1","0.0","0","DDX20","false","false","true","yes","11218","0","0.0","0","0.0","false","11218"
"0.0","1","0.0","0","LLGL1","false","false","true","yes","3996","0","0.0","0","0.0","false","3996"
"0.0","1","0.0","0","NLGN2","false","false","true","yes","57555","0","0.0","0","0.0","false","57555"
"0.0","1","0.0","0","TP53","false","false","true","yes","7157","0","0.0","0","0.0","false","7157"
"0.0","1","0.0","0","CCNA2","false","false","true","yes","890","0","0.0","0","0.0","false","890"
"0.0","0","0.0","0","CDC20","false","false","true","no","991","0","0.0","0","0.0","false","991"
"0.0","1","0.0","0","FBXO5","false","false","true","yes","26271","0","0.0","0","0.0","false","26271"
"0.0","1","0.0","0","FBLN1","false","false","true","yes","2192","0","0.0","0","0.0","false","2192"
"0.0","1","0.0","0","FN1","false","false","true","yes","2335","1","0.09090909090909091","1","0.05","true","2335"
"0.0","0","0.0","0","NGFR","false","false","true","no","4804","0","0.0","0","0.0","false","4804"
"0.0","1","0.0","0","TRAF6","false","false","true","yes","7189","0","0.0","0","0.0","false","7189"
"0.0","1","0.0","0","HOXB8","false","false","true","yes","3218","0","0.0","0","0.0","false","3218"
"0.0","1","0.0","0","PBX2","false","false","true","yes","5089","0","0.0","0","0.0","false","5089"
"0.0","0","0.0","0","CD44","false","false","true","no","960","0","0.0","0","0.0","false","960"
"0.0","1","0.0","0","SRGN","false","false","true","yes","5552","0","0.0","0","0.0","false","5552"
"0.0","1","0.0","0","BIRC3","false","false","true","yes","330","0","0.0","0","0.0","false","330"
"0.0","0","0.0","0","TRAF2","false","false","true","no","7186","0","0.0","0","0.0","false","7186"
"0.0","1","0.0","0","TCERG1","false","false","true","yes","10915","0","0.0","0","0.0","false","10915"
"0.0","1","0.0","0","SF3A3","false","false","true","yes","10946","0","0.0","0","0.0","false","10946"
"0.0","1","0.0","0","ZFAND5","false","false","true","yes","7763","0","0.0","0","0.0","false","7763"
"0.0","1","0.0","0","TNFAIP3","false","false","true","yes","7128","0","0.0","0","0.0","false","7128"
"0.0","0","0.0","0","GRB2","false","false","true","no","2885","0","0.0","0","0.0","false","2885"
"0.0","1","0.0","0","ANXA2","false","false","true","yes","302","0","0.0","1","0.05","false","302"
"0.0","1","0.0","0","CEACAM1","false","false","true","yes","634","0","0.0","0","0.0","false","634"
"0.0","1","0.0","0","HDAC2","false","false","true","yes","3066","0","0.0","0","0.0","false","3066"
"0.0","0","0.0","0","EED","false","false","true","no","8726","0","0.0","0","0.0","false","8726"
"0.0","0","0.0","0","SLC6A1","false","false","true","no","6529","0","0.0","0","0.0","false","6529"
"0.0","0","0.0","0","STX1A","false","false","true","no","6804","0","0.0","0","0.0","false","6804"
"0.0","1","0.0","0","RAB3A","false","false","true","yes","5864","0","0.0","0","0.0","false","5864"
"0.0","0","0.0","0","CASK","false","false","true","no","8573","0","0.0","1","0.05","false","8573"
"0.0","1","0.0","0","RAC1","false","false","true","yes","5879","0","0.0","0","0.0","false","5879"
"0.0","0","0.0","0","NOXA1","false","false","true","no","10811","0","0.0","0","0.0","false","10811"
"0.0","1","0.0","0","ARRB1","false","false","true","yes","408","0","0.0","0","0.0","false","408"
"0.0","1","0.0","0","PTHLH","false","false","true","yes","5744","0","0.0","0","0.0","false","5744"
"0.0","0","0.0","0","NCOR1","false","false","true","no","9611","0","0.0","0","0.0","false","9611"
"0.0","1","0.0","0","HDAC3","false","false","true","yes","8841","0","0.0","0","0.0","false","8841"
"0.0","0","0.0","0","RAB5A","false","false","true","no","5868","0","0.0","0","0.0","false","5868"
"0.0","1","0.0","0","ALS2CL","false","false","true","yes","259173","0","0.0","0","0.0","false","259173"
"0.0","0","0.0","0","ZBTB16","false","false","true","no","7704","0","0.0","0","0.0","false","7704"
"0.0","0","0.0","0","EPN1","false","false","true","no","29924","0","0.0","0","0.0","false","29924"
"0.0","1","0.0","0","KAT5","false","false","true","yes","10524","0","0.0","0","0.0","false","10524"
"0.0","1","0.0","0","NOL3","false","false","true","yes","8996","0","0.0","0","0.0","false","8996"
"0.0","1","0.0","0","VCAN","false","false","true","yes","1462","0","0.0","0","0.0","false","1462"
"0.0","0","0.0","0","FLNA","false","false","true","no","2316","0","0.0","0","0.0","false","2316"
"0.0","1","0.0","0","GRM8","false","false","true","yes","2918","0","0.0","0","0.0","false","2918"
"0.0","0","0.0","0","KMT2A","false","false","true","no","4297","0","0.0","0","0.0","false","4297"
"0.0","1","0.0","0","RBBP5","false","false","true","yes","5929","0","0.0","0","0.0","false","5929"
"0.0","1","0.0","0","CS","false","false","true","yes","1431","0","0.0","0","0.0","false","1431"
"0.0","1","0.0","0","MDH2","false","false","true","yes","4191","0","0.0","0","0.0","false","4191"
"0.0","1","0.0","0","TRADD","false","false","true","yes","8717","0","0.0","0","0.0","false","8717"
"0.0","1","0.0","0","MAP3K4","false","false","true","yes","4216","0","0.0","0","0.0","false","4216"
"0.0","1","0.0","0","DIXDC1","false","false","true","yes","85458","0","0.0","0","0.0","false","85458"
"0.0","1","0.0","0","INCENP","false","false","true","yes","3619","0","0.0","0","0.0","false","3619"
"0.0","0","0.0","0","CBX5","false","false","true","no","23468","0","0.0","0","0.0","false","23468"
"0.0","0","0.0","0","GZMB","false","false","true","no","3002","0","0.0","0","0.0","false","3002"
"0.0","0","0.0","0","PRF1","false","false","true","no","5551","0","0.0","0","0.0","false","5551"
"0.0","1","0.0","0","PTPRE","false","false","true","yes","5791","0","0.0","0","0.0","false","5791"
"0.0","1","0.0","0","TNK2","false","false","true","yes","10188","0","0.0","0","0.0","false","10188"
"0.0","1","0.0","0","RASGRF1","false","false","true","yes","5923","0","0.0","0","0.0","false","5923"
"0.0","1","0.0","0","DAND5","false","false","true","yes","199699","0","0.0","0","0.0","false","199699"
"0.0","1","0.0","0","SHC1","false","false","true","yes","6464","0","0.0","0","0.0","false","6464"
"0.0","1","0.0","0","PRRC2A","false","false","true","yes","7916","0","0.0","0","0.0","false","7916"
"0.0","0","0.0","0","EIF3E","false","false","true","no","3646","0","0.0","0","0.0","false","3646"
"0.0","1","0.0","0","HTR2A","false","false","true","yes","3356","0","0.0","0","0.0","false","3356"
"0.0","1","0.0","0","JAK2","false","false","true","yes","3717","0","0.0","0","0.0","false","3717"
"0.0","0","0.0","0","AHR","false","false","true","no","196","0","0.0","0","0.0","false","196"
"0.0","1","0.0","0","NCOA1","false","false","true","yes","8648","0","0.0","0","0.0","false","8648"
"0.0","0","0.0","0","LCP2","false","false","true","no","3937","0","0.0","0","0.0","false","3937"
"0.0","0","0.0","0","SHB","false","false","true","no","6461","0","0.0","0","0.0","false","6461"
"0.0","0","0.0","0","EPOR","false","false","true","no","2057","0","0.0","0","0.0","false","2057"
"0.0","1","0.0","0","SATB1","false","false","true","yes","6304","0","0.0","0","0.0","false","6304"
"0.0","1","0.0","0","CD4","false","false","true","yes","920","0","0.0","0","0.0","false","920"
"0.0","1","0.0","0","IL16","false","false","true","yes","3603","0","0.0","0","0.0","false","3603"
"0.0","1","0.0","0",,"false","false","true","yes","5430","0","0.0","0","0.0","false","5430"
"0.0","0","0.0","0","POLR2E","false","false","true","no","5434","0","0.0","0","0.0","false","5434"
"0.0","1","0.0","0","APC","false","false","true","yes","324","0","0.0","0","0.0","false","324"
"0.0","0","0.0","0","MAPRE1","false","false","true","no","22919","0","0.0","0","0.0","false","22919"
"0.0","1","0.0","0","PIK3CD","false","false","true","yes","5293","0","0.0","0","0.0","false","5293"
"0.0","1","0.0","0","PIK3R1","false","false","true","yes","5295","0","0.0","0","0.0","false","5295"
